contact_id,email,lifecyclestage,hs_latest_source,hs_latest_source_data_1,hs_analytics_source,createdate,hs_lifecyclestage_lead_date,hs_lifecyclestage_marketingqualifiedlead_date,hs_lifecyclestage_salesqualifiedlead_date,hs_lifecyclestage_customer_date,hs_email_optout,hs_is_unworked,_fivetran_synced,_fivetran_deleted
1001,pedro.white1@gmail.com,marketingqualifiedlead,paid_social,MOF - Traffic,paid_social,1710979200000,1711238400000,1711843200000,,,false,false,2024-04-01T09:00:00Z,false
1002,olivia.thomas2@tech.co,salesqualifiedlead,paid_search,Product - Search,paid_search,1710288000000,1710460800000,1710892800000,1711670400000,,true,false,2024-04-01T09:00:00Z,false
1003,grace.moore3@outlook.com,salesqualifiedlead,paid_search,Brand - Search,paid_search,1704326400000,1704499200000,1704844800000,1705795200000,,false,false,2024-04-01T09:00:00Z,false
1004,sam.anderson4@yahoo.com,salesqualifiedlead,email,Newsletter March,email,1707523200000,1707523200000,1707782400000,1708387200000,,true,false,2024-04-01T09:00:00Z,false
1005,pedro.davis5@outlook.com,marketingqualifiedlead,direct_traffic,(not set),direct_traffic,1709856000000,1710028800000,1710201600000,,,true,false,2024-04-01T09:00:00Z,false
1006,liam.johnson6@yahoo.com,customer,paid_search,Competitor - Search,paid_search,1704326400000,1704585600000,1705017600000,1705276800000,1705881600000,false,false,2024-04-01T09:00:00Z,false
1007,pedro.wilson7@outlook.com,customer,paid_social,TOF - Awareness,paid_social,1705449600000,1705536000000,1706054400000,1706140800000,1707436800000,false,false,2024-04-01T09:00:00Z,false
1008,quinn.brown8@gmail.com,customer,organic_search,(not set),organic_search,1705017600000,1705190400000,1705536000000,1705622400000,1705968000000,false,false,2024-04-01T09:00:00Z,false
1009,alice.wilson9@tech.co,marketingqualifiedlead,paid_social,MOF - Traffic,paid_social,1706140800000,1706313600000,1706572800000,,,false,false,2024-04-01T09:00:00Z,false
1010,olivia.brown10@outlook.com,salesqualifiedlead,paid_social,TOF - Awareness,paid_social,1705276800000,1705276800000,1705708800000,1706486400000,,true,false,2024-04-01T09:00:00Z,false
1011,grace.taylor11@corp.com,marketingqualifiedlead,organic_search,(not set),organic_search,1707177600000,1707264000000,1707436800000,,,true,false,2024-04-01T09:00:00Z,false
1012,james.moore12@corp.com,marketingqualifiedlead,direct_traffic,(not set),direct_traffic,1704326400000,1704585600000,1705104000000,,,true,false,2024-04-01T09:00:00Z,false
1013,diana.anderson13@gmail.com,opportunity,paid_search,Competitor - Search,paid_search,1705968000000,1706227200000,1706659200000,1707177600000,,false,false,2024-04-01T09:00:00Z,false
1014,kate.martinez14@tech.co,opportunity,email,Newsletter March,email,1710288000000,1710374400000,1710460800000,1711670400000,,false,false,2024-04-01T09:00:00Z,false
1015,diana.jackson15@outlook.com,marketingqualifiedlead,direct_traffic,(not set),direct_traffic,1706486400000,1706572800000,1707177600000,,,false,false,2024-04-01T09:00:00Z,false
1016,liam.anderson16@yahoo.com,opportunity,organic_search,(not set),organic_search,1709424000000,1709424000000,1709510400000,1710201600000,,true,false,2024-04-01T09:00:00Z,false
1017,liam.white17@company.io,salesqualifiedlead,paid_social,MOF - Traffic,paid_social,1710720000000,1710806400000,1711238400000,1711411200000,,false,false,2024-04-01T09:00:00Z,false
1018,diana.moore18@corp.com,customer,paid_search,Competitor - Search,paid_search,1709164800000,1709424000000,1709856000000,1710460800000,1711152000000,false,false,2024-04-01T09:00:00Z,false
1019,rachel.garcia19@company.io,salesqualifiedlead,direct_traffic,(not set),direct_traffic,1706313600000,1706572800000,1707177600000,1707782400000,,false,false,2024-04-01T09:00:00Z,false
1020,rachel.davis20@yahoo.com,customer,paid_search,Product - Search,paid_search,1709424000000,1709424000000,1709856000000,1710720000000,1712016000000,false,false,2024-04-01T09:00:00Z,false
1021,rachel.brown21@company.io,opportunity,paid_social,MOF - Traffic,paid_social,1704758400000,1704758400000,1705276800000,1706486400000,,false,false,2024-04-01T09:00:00Z,false
1022,kate.white22@tech.co,marketingqualifiedlead,paid_search,Brand - Search,paid_search,1705536000000,1705536000000,1706140800000,,,false,false,2024-04-01T09:00:00Z,false
1023,eve.jackson23@corp.com,customer,organic_search,(not set),organic_search,1710374400000,1710633600000,1710806400000,1711152000000,1713052800000,false,false,2024-04-01T09:00:00Z,false
1024,james.wilson24@company.io,customer,organic_search,(not set),organic_search,1704153600000,1704412800000,1705017600000,1705276800000,1707696000000,false,false,2024-04-01T09:00:00Z,false
1025,bob.taylor25@corp.com,customer,paid_search,Brand - Search,paid_search,1707955200000,1707955200000,1708560000000,1708992000000,1711411200000,true,false,2024-04-01T09:00:00Z,false
1026,henry.thomas26@tech.co,salesqualifiedlead,email,Promo April,email,1708214400000,1708473600000,1708819200000,1709424000000,,false,false,2024-04-01T09:00:00Z,false
1027,frank.white27@yahoo.com,opportunity,paid_social,BOF - Conversions,paid_social,1708041600000,1708300800000,1708473600000,1708905600000,,false,false,2024-04-01T09:00:00Z,false
1028,eve.smith28@gmail.com,opportunity,paid_search,Brand - Search,paid_search,1708819200000,1708905600000,1708992000000,1709251200000,,false,false,2024-04-01T09:00:00Z,false
1029,olivia.thomas29@corp.com,customer,paid_social,MOF - Traffic,paid_social,1708732800000,1708992000000,1709337600000,1709856000000,1710547200000,false,false,2024-04-01T09:00:00Z,false
1030,noah.smith30@corp.com,marketingqualifiedlead,direct_traffic,(not set),direct_traffic,1709596800000,1709769600000,1710115200000,,,false,false,2024-04-01T09:00:00Z,false
1031,bob.johnson31@corp.com,salesqualifiedlead,direct_traffic,(not set),direct_traffic,1705276800000,1705536000000,1706054400000,1706227200000,,false,false,2024-04-01T09:00:00Z,false
1032,quinn.miller32@company.io,customer,email,Newsletter March,email,1710806400000,1710806400000,1710979200000,1711670400000,1713484800000,true,false,2024-04-01T09:00:00Z,false
1033,rachel.wilson33@corp.com,customer,paid_search,Competitor - Search,paid_search,1704153600000,1704412800000,1704758400000,1705536000000,1708041600000,false,false,2024-04-01T09:00:00Z,false
